data,A,B,C,D
2017-01-21|05:04:00.000,4415.64697,-3.79412,116.76909,44.60528
2017-01-21|05:04:10.000,4411.44238,-3.79961,116.78073,44.69523
2017-01-21|05:04:20.000,4413.26025,-3.79431,116.76746,44.74406
2017-01-21|05:04:30.000,4423.24707,-3.77586,116.75801,44.76124
2017-01-21|05:04:40.000,4407.24023,-3.80944,116.75085,44.84715
2017-01-21|05:04:50.000,4355.96436,-3.79391,116.74369,44.8615
2017-01-21|05:05:00.000,4366.40674,-3.77249,116.73653,44.87584
2017-01-21|05:05:10.000,4390.00439,-3.74226,116.76077,44.89019
2017-01-21|05:05:20.000,4413.60205,-3.76295,116.75749,44.93196
2017-01-21|05:05:30.000,4403.85645,-3.783,116.75422,44.95148
2017-01-21|05:05:40.000,4348.83252,-3.78956,116.75095,45.04074
2017-01-21|05:05:50.000,4356.10107,-3.77289,116.74767,45.13737
2017-01-21|05:06:00.000,4387.11621,-3.78095,116.74441,45.24587
2017-01-21|05:06:10.000,4404.26953,-3.78191,116.74113,45.3622
2017-01-21|05:06:20.000,4373.37305,-3.79606,116.73787,45.35848
2017-01-21|05:06:30.000,4342.47656,-3.8203,116.75845,45.44558
2017-01-21|05:06:40.000,4345.66504,-3.83725,116.73677,45.51943
2017-01-21|05:06:50.000,4361.86035,-3.80105,116.75063,45.58691
2017-01-21|05:07:00.000,4389.99121,-3.80902,116.73808,45.67361
2017-01-21|05:07:10.000,4422.67969,-3.85605,116.74331,45.68641
2017-01-21|05:07:20.000,4455.36816,-3.84478,116.75391,45.5968
2017-01-21|05:07:30.000,4456.50342,-3.83836,116.74274,45.53766
2017-01-21|05:07:40.000,4414.9834,-3.84059,116.75346,45.53946
2017-01-21|05:07:50.000,4385.04834,-3.79143,116.7374,45.5891
2017-01-21|05:08:00.000,4355.11328,-3.84717,116.74892,45.63873
2017-01-21|05:08:10.000,4325.17822,-3.84982,116.76044,45.74318
2017-01-21|05:08:20.000,4428.42188,-3.86736,116.76872,45.83501
2017-01-21|05:08:30.000,4434.01563,-3.8515,116.77631,45.80063
2017-01-21|05:08:40.000,4427.26709,-3.83033,116.78389,45.85728
2017-01-21|05:08:50.000,4421.229,-3.84778,116.7783,45.75075
2017-01-21|05:09:00.000,4445.10449,-3.85073,116.77187,45.72872
2017-01-21|05:09:10.000,4468.98047,-3.85687,116.78779,45.58935
2017-01-21|05:09:20.000,4482.01123,-3.8826,116.77499,45.35387
2017-01-21|05:09:30.000,4417.78809,-3.87734,116.77336,45.29181
2017-01-21|05:09:40.000,4422.09717,-3.86874,116.78162,45.21923
2017-01-21|05:09:50.000,4432.12402,-3.8634,116.78493,45.28247
2017-01-21|05:10:00.000,4442.15039,-3.88099,116.76675,45.27593
2017-01-21|05:10:10.000,4452.17725,-3.85926,116.78188,45.27768
2017-01-21|05:10:20.000,4412.91748,-3.84763,116.77335,45.32223
2017-01-21|05:10:30.000,4356.854,-3.83968,116.76987,45.41892
2017-01-21|05:10:40.000,4390.69531,-3.87632,116.7778,45.90977
2017-01-21|05:10:50.000,4493.75977,-3.88663,116.77183,47.33794
2017-01-21|05:11:00.000,4680.01221,-3.9187,116.78574,48.67801
2017-01-21|05:11:10.000,4785.01855,-4.0012,116.771,49.74159
2017-01-21|05:11:20.000,4844.2998,-4.04112,116.7785,49.49963
2017-01-21|05:11:30.000,4861.81055,-4.072,116.81667,48.95008
2017-01-21|05:11:40.000,4879.32129,-4.05345,116.82613,48.5929
2017-01-21|05:11:50.000,4889.99463,-4.0782,116.83559,47.04047
2017-01-21|05:12:00.000,4851.64307,-4.04484,116.81971,47.09961
2017-01-21|05:12:10.000,4819.04346,-4.05812,116.83864,47.24794
2017-01-21|05:12:20.000,4791.70459,-4.03853,116.84319,47.08785
2017-01-21|05:12:30.000,4765.3501,-4.06235,116.8743,46.49453
2017-01-21|05:12:40.000,4782.36133,-4.05591,116.88533,45.77735
2017-01-21|05:12:50.000,4799.37207,-4.04643,116.90149,45.31814
2017-01-21|05:13:00.000,4774.78174,-3.98235,116.93987,44.8558
2017-01-21|05:13:10.000,4733.68359,-3.95886,116.92346,44.40187
2017-01-21|05:13:20.000,4647.05225,-3.94559,116.97495,43.6998
2017-01-21|05:13:30.000,4600.22314,-3.93347,116.99261,43.1962
2017-01-21|05:13:40.000,4577.58252,-3.88183,116.978,42.72854
2017-01-21|05:13:50.000,4533.80957,-3.83124,116.99084,42.47391
2017-01-21|05:14:00.000,4470.67822,-3.80518,116.98242,42.23801
2017-01-21|05:14:10.000,4424.85352,-3.7707,117.01528,42.09631
2017-01-21|05:14:20.000,4402.75293,-3.76569,117.00464,42.16726
2017-01-21|05:14:30.000,4380.65283,-3.74408,116.97993,42.23347
2017-01-21|05:14:40.000,4369.39111,-3.73968,116.97646,42.31842
2017-01-21|05:14:50.000,4359.05029,-3.71286,116.96281,42.56498
2017-01-21|05:15:00.000,4348.70996,-3.70598,116.94398,42.80035
2017-01-21|05:15:10.000,4350.24072,-3.67826,116.93834,43.18246
2017-01-21|05:15:20.000,4356.354,-3.67176,116.93269,43.48721
2017-01-21|05:15:30.000,4362.4668,-3.66526,116.92705,43.71161
2017-01-21|05:15:40.000,4369.74268,-3.69335,116.92185,44.05952
2017-01-21|05:15:50.000,4381.10791,-3.69972,116.93746,44.2354
2017-01-21|05:16:00.000,4392.47314,-3.72356,116.92183,44.4776
2017-01-21|05:16:10.000,4403.83887,-3.72777,116.93658,44.79008
2017-01-21|05:16:20.000,4379.4126,-3.73562,116.89642,45.1391
2017-01-21|05:16:30.000,4351.9248,-3.713,116.89026,45.41269
2017-01-21|05:16:40.000,4334.7124,-3.7649,116.88113,45.4362
2017-01-21|05:16:50.000,4392.07129,-3.8052,116.87199,45.55714
2017-01-21|05:17:00.000,4436.85889,-3.8088,116.89203,45.52958
2017-01-21|05:17:10.000,4464.35742,-3.80228,116.88967,45.63465
2017-01-21|05:17:20.000,4491.85596,-3.77766,116.8455,45.74316
2017-01-21|05:17:30.000,4484.39258,-3.8276,116.85151,45.87175
2017-01-21|05:17:40.000,4445.2207,-3.82404,116.84447,45.92887
2017-01-21|05:17:50.000,4406.99707,-3.84025,116.86488,46.0113
2017-01-21|05:18:00.000,4368.77344,-3.8263,116.8513,46.11365
2017-01-21|05:18:10.000,4400.63086,-3.85356,116.85683,46.19464
2017-01-21|05:18:20.000,4446.97607,-3.87455,116.85939,46.58687
2017-01-21|05:18:30.000,4454.20605,-3.88123,116.83562,47.05096
2017-01-21|05:18:40.000,4496.52051,-3.94899,116.84023,46.88193
2017-01-21|05:18:50.000,4587.16553,-3.96045,116.82551,46.84538
2017-01-21|05:19:00.000,4576.62744,-3.94655,116.84932,46.78124
2017-01-21|05:19:10.000,4538.51758,-3.95172,116.85617,46.69185
2017-01-21|05:19:20.000,4511.17285,-3.96606,116.85729,46.60808
2017-01-21|05:19:30.000,4483.82764,-3.94093,116.8438,46.51564
2017-01-21|05:19:40.000,4528.6582,-3.95065,116.85898,46.41664
2017-01-21|05:19:50.000,4562.09863,-3.97464,116.84571,46.40202
2017-01-21|05:20:00.000,4518.89307,-3.94029,116.89368,46.36464
2017-01-21|05:20:10.000,4475.6875,-3.95976,116.89003,46.3278
2017-01-21|05:20:20.000,4516.76563,-3.95627,116.87446,46.16695
2017-01-21|05:20:30.000,4559.95264,-3.95491,116.8778,46.11615
2017-01-21|05:20:40.000,4584.68018,-3.97051,116.88647,46.09933
2017-01-21|05:20:50.000,4609.4082,-3.95354,116.87143,45.97677
2017-01-21|05:21:00.000,4634.13574,-3.9499,116.89561,45.90783
2017-01-21|05:21:10.000,4568.62988,-3.95909,116.92038,45.7199
2017-01-21|05:21:20.000,4511.22754,-3.93089,116.91092,45.74677
2017-01-21|05:21:30.000,4535.22998,-3.9647,116.90146,45.71674
2017-01-21|05:21:40.000,4555.71387,-3.93878,116.91196,45.65841
2017-01-21|05:21:50.000,4550.34521,-3.92617,116.9336,45.54399
2017-01-21|05:22:00.000,4544.97705,-3.93444,116.94283,45.53576
2017-01-21|05:22:10.000,4560.74072,-3.92849,116.93436,45.48763
2017-01-21|05:22:20.000,4584.73877,-3.93021,116.94772,45.28176
2017-01-21|05:22:30.000,4608.73682,-3.91978,116.93002,45.08212
2017-01-21|05:22:40.000,4597.77002,-3.93658,116.92596,44.84088
2017-01-21|05:22:50.000,4544.79541,-3.92249,116.93452,44.84091
2017-01-21|05:23:00.000,4521.84619,-3.9057,116.94308,45.02677
2017-01-21|05:23:10.000,4498.89697,-3.87926,116.92951,45.07157
2017-01-21|05:23:20.000,4486.82959,-3.8997,116.9464,44.98362
2017-01-21|05:23:30.000,4513.50049,-3.87823,116.93881,44.82099
2017-01-21|05:23:40.000,4540.17188,-3.94827,116.93123,44.66753
2017-01-21|05:23:50.000,4534.42969,-3.95524,116.92365,44.44798
2017-01-21|05:24:00.000,4508.75391,-3.91419,116.93887,44.40924
2017-01-21|05:24:10.000,4483.07813,-3.90234,116.93633,44.35003
2017-01-21|05:24:20.000,4504.85986,-3.90317,116.94174,44.28629
2017-01-21|05:24:30.000,4529.37744,-3.90863,116.93694,44.10146
2017-01-21|05:24:40.000,4526.27441,-3.8929,116.93542,43.9699
2017-01-21|05:24:50.000,4523.17188,-3.89094,116.93984,43.80143
2017-01-21|05:25:00.000,4520.06885,-3.88484,116.92657,43.73143
2017-01-21|05:25:10.000,4532.50586,-3.8657,116.93395,43.73024
2017-01-21|05:25:20.000,4548.38135,-3.85375,116.92872,43.75598
2017-01-21|05:25:30.000,4564.25684,-3.88818,116.90919,43.842
2017-01-21|05:25:40.000,4523.72607,-3.89356,116.89854,43.92981
2017-01-21|05:25:50.000,4491.94336,-3.85627,116.90533,43.99779
2017-01-21|05:26:00.000,4509.27393,-3.88642,116.91213,44.07926
2017-01-21|05:26:10.000,4526.60449,-3.85562,116.91892,44.16072
2017-01-21|05:26:20.000,4543.93506,-3.85832,116.89487,44.24219
2017-01-21|05:26:30.000,4542.97168,-3.86266,116.88708,44.32365
2017-01-21|05:26:40.000,4537.95166,-3.86699,116.8793,44.40512
2017-01-21|05:26:50.000,4521.87646,-3.85455,116.87151,44.49691
2017-01-21|05:27:00.000,4503.34766,-3.83923,116.89421,44.51391
2017-01-21|05:27:10.000,4493.90869,-3.85168,116.89301,44.53091
2017-01-21|05:27:20.000,4497.10938,-3.88068,116.88671,44.50646
2017-01-21|05:27:30.000,4500.31006,-3.88349,116.8804,44.52347
2017-01-21|05:27:40.000,4503.51074,-3.83941,116.8741,44.54047
2017-01-21|05:27:50.000,4496.35449,-3.83238,116.89513,44.5332
2017-01-21|05:28:00.000,4482.79932,-3.84375,116.9016,44.51091
2017-01-21|05:28:10.000,4469.24414,-3.8481,116.90806,44.48862
2017-01-21|05:28:20.000,4474.92529,-3.86542,116.91452,44.45897
2017-01-21|05:28:30.000,4488.16162,-3.84582,116.92098,44.37481
2017-01-21|05:28:40.000,4500.8916,-3.84617,116.9053,44.29688
2017-01-21|05:28:50.000,4511.8042,-3.84616,116.89597,44.31684
2017-01-21|05:29:00.000,4522.7168,-3.85724,116.91294,44.27649
2017-01-21|05:29:10.000,4517.56836,-3.84737,116.89639,44.28677
2017-01-21|05:29:20.000,4477.92725,-3.86301,116.88718,44.33237
2017-01-21|05:29:30.000,4438.28564,-3.85387,116.87864,44.35905
2017-01-21|05:29:40.000,4483.95752,-3.83858,116.87009,44.43091
2017-01-21|05:29:50.000,4537.57275,-3.86759,116.89259,44.34322
2017-01-21|05:30:00.000,4507.98486,-3.92066,116.88223,44.3438
2017-01-21|05:30:10.000,4478.39697,-3.85314,116.86871,44.35685
2017-01-21|05:30:20.000,4477.45557,-3.85783,116.87852,44.35234
2017-01-21|05:30:30.000,4494.2666,-3.83622,116.88832,44.33011
2017-01-21|05:30:40.000,4507.24365,-3.83665,116.89035,44.11285
2017-01-21|05:30:50.000,4491.36865,-3.92414,116.87564,43.94615
2017-01-21|05:31:00.000,4475.49365,-3.86948,116.88543,43.75364
2017-01-21|05:31:10.000,4459.61914,-3.89288,116.88897,43.64182
2017-01-21|05:31:20.000,4455.28809,-3.88779,116.87875,43.50303
2017-01-21|05:31:30.000,4475.80615,-3.88084,116.89389,43.39987
2017-01-21|05:31:40.000,4492.47656,-3.86774,116.8708,43.87774
2017-01-21|05:31:50.000,4495.26904,-3.84766,116.85493,45.41706
2017-01-21|05:32:00.000,4498.06104,-3.87099,116.89438,46.56197
2017-01-21|05:32:10.000,4501.00488,-3.89315,116.84752,44.85045
2017-01-21|05:32:20.000,4512.75244,-3.90912,116.87294,44.87775
2017-01-21|05:32:30.000,4524.5,-3.90112,116.86067,45.26646
2017-01-21|05:32:40.000,4532.26563,-3.90795,116.86264,45.30426
2017-01-21|05:32:50.000,4509.9209,-3.87971,116.86917,44.98649
2017-01-21|05:33:00.000,4487.57666,-3.85662,116.87103,44.4648
2017-01-21|05:33:10.000,4484.17529,-3.89203,116.84753,43.82779
2017-01-21|05:33:20.000,4498.49268,-3.9062,116.84149,43.23206
2017-01-21|05:33:30.000,4512.81055,-3.88541,116.83707,42.63266
2017-01-21|05:33:40.000,4503.23486,-3.82107,116.83266,42.31275
2017-01-21|05:33:50.000,4407.19238,-3.80282,116.82824,42.04358
2017-01-21|05:34:00.000,4417.10107,-3.7373,116.82382,41.79815
2017-01-21|05:34:10.000,4436.66309,-3.75735,116.8194,41.7239
2017-01-21|05:34:20.000,4432.16455,-3.74392,116.81674,41.81192
2017-01-21|05:34:30.000,4393.9458,-3.71599,116.82734,41.77361
2017-01-21|05:34:40.000,4354.06641,-3.70602,116.83794,41.8255
2017-01-21|05:34:50.000,4313.81348,-3.67951,116.82159,41.88393
2017-01-21|05:35:00.000,4304.70068,-3.66843,116.8136,42.07096
2017-01-21|05:35:10.000,4362.93018,-3.69242,116.80477,42.14749
2017-01-21|05:35:20.000,4389.80908,-3.67784,116.79594,42.28257
2017-01-21|05:35:30.000,4302.96582,-3.69954,116.81167,42.45647
2017-01-21|05:35:40.000,4282.78564,-3.66118,116.76531,42.6527
2017-01-21|05:35:50.000,4268.71875,-3.68489,116.78376,42.84253
2017-01-21|05:36:00.000,4254.65186,-3.64601,116.77113,43.09708
2017-01-21|05:36:10.000,4283.39355,-3.66237,116.75913,43.36099
2017-01-21|05:36:20.000,4338.83301,-3.66509,116.74854,43.5518
2017-01-21|05:36:30.000,4343.81689,-3.67803,116.73794,43.67316
2017-01-21|05:36:40.000,4301.43652,-3.68385,116.7096,43.87068
2017-01-21|05:36:50.000,4272.86572,-3.71264,116.71658,43.87981
2017-01-21|05:37:00.000,4263.70703,-3.70645,116.72355,43.90001
2017-01-21|05:37:10.000,4283.38623,-3.70766,116.73051,43.94032
2017-01-21|05:37:20.000,4343.6167,-3.68409,116.71693,43.96492
2017-01-21|05:37:30.000,4336.56592,-3.69621,116.69463,43.94537
2017-01-21|05:37:40.000,4302.7627,-3.7292,116.6952,43.84832
2017-01-21|05:37:50.000,4308.91943,-3.72371,116.70759,43.92809
2017-01-21|05:38:00.000,4330.96533,-3.73422,116.69875,43.87275
2017-01-21|05:38:10.000,4353.01123,-3.70549,116.6899,43.81314
2017-01-21|05:38:20.000,4348.42871,-3.70218,116.67662,43.79234
2017-01-21|05:38:30.000,4333.24805,-3.70021,116.65376,43.67332
2017-01-21|05:38:40.000,4320.29834,-3.72381,116.64521,43.56345
2017-01-21|05:38:50.000,4315.48242,-3.72286,116.63666,43.32328
2017-01-21|05:39:00.000,4310.66699,-3.70161,116.63351,43.27598
2017-01-21|05:39:10.000,4305.79248,-3.68571,116.65009,43.32202
2017-01-21|05:39:20.000,4297.10254,-3.68727,116.64522,43.36891
2017-01-21|05:39:30.000,4288.4126,-3.69709,116.62694,43.36289
2017-01-21|05:39:40.000,4279.72266,-3.71704,116.60866,43.30731
2017-01-21|05:39:50.000,4271.08105,-3.70929,116.61976,43.31402
2017-01-21|05:40:00.000,4262.46924,-3.71811,116.60423,43.46378
2017-01-21|05:40:10.000,4279.64746,-3.70263,116.59585,43.56578
2017-01-21|05:40:20.000,4321.1333,-3.71028,116.60062,43.68135
2017-01-21|05:40:30.000,4338.26172,-3.74194,116.62126,43.65883
2017-01-21|05:40:40.000,4332.4248,-3.70478,116.59527,43.62424
2017-01-21|05:40:50.000,4326.58789,-3.68715,116.59998,43.68679
2017-01-21|05:41:00.000,4347.43506,-3.69636,116.58894,44.37518
2017-01-21|05:41:10.000,4393.45264,-3.74622,116.5779,45.98755
2017-01-21|05:41:20.000,4441.08447,-3.88928,116.55592,47.41232
2017-01-21|05:41:30.000,4598.41406,-3.98082,116.56919,48.48872
2017-01-21|05:41:40.000,4735.09668,-4.09508,116.55505,49.12898
2017-01-21|05:41:50.000,4772.57031,-4.13962,116.56979,48.20509
2017-01-21|05:42:00.000,4750.73291,-4.15067,116.55202,47.5474
2017-01-21|05:42:10.000,4728.896,-4.14539,116.56599,46.57021
2017-01-21|05:42:20.000,4718.36572,-4.11458,116.58326,45.66904
2017-01-21|05:42:30.000,4749.31641,-4.0893,116.61038,45.94029
2017-01-21|05:42:40.000,4772.33057,-4.0605,116.62562,46.1157
2017-01-21|05:42:50.000,4733.78467,-4.05427,116.63481,45.66028
2017-01-21|05:43:00.000,4697.17676,-4.04131,116.65675,45.01151
2017-01-21|05:43:10.000,4675.61914,-4.06737,116.67713,44.90733
2017-01-21|05:43:20.000,4654.06152,-4.02009,116.65931,44.66858
2017-01-21|05:43:30.000,4630.37402,-4.01294,116.70623,44.00266
2017-01-21|05:43:40.000,4590.12158,-3.98905,116.70259,43.26698
2017-01-21|05:43:50.000,4549.86865,-3.92895,116.68732,42.91156
2017-01-21|05:44:00.000,4515.64111,-3.89305,116.70773,42.75832
2017-01-21|05:44:10.000,4485.20459,-3.88205,116.7315,42.56259
2017-01-21|05:44:20.000,4454.76807,-3.85291,116.71895,42.26189
2017-01-21|05:44:30.000,4456.6792,-3.84847,116.73219,42.18917
2017-01-21|05:44:40.000,4465.99609,-3.82928,116.71657,42.13323
2017-01-21|05:44:50.000,4475.31299,-3.80693,116.71773,41.96445
2017-01-21|05:45:00.000,4482.91846,-3.78244,116.70275,41.99818
2017-01-21|05:45:10.000,4365.42822,-3.75796,116.69446,42.06728
2017-01-21|05:45:20.000,4338.52246,-3.7436,116.68616,42.50922
2017-01-21|05:45:30.000,4332.38428,-3.74555,116.69428,42.94868
2017-01-21|05:45:40.000,4335.65723,-3.74844,116.67441,42.8463
2017-01-21|05:45:50.000,4359.55762,-3.72304,116.66046,42.66625
2017-01-21|05:46:00.000,4383.45801,-3.74377,116.68061,43.68148
2017-01-21|05:46:10.000,4393.40381,-3.7342,116.65018,44.40264
2017-01-21|05:46:20.000,4372.74902,-3.76146,116.62663,45.28723
2017-01-21|05:46:30.000,4352.09424,-3.85528,116.61603,44.13097
2017-01-21|05:46:40.000,4362.25928,-3.82498,116.60543,43.02504
2017-01-21|05:46:50.000,4416.21143,-3.81154,116.58166,43.37874
2017-01-21|05:47:00.000,4410.31299,-3.76902,116.60001,43.93756
2017-01-21|05:47:10.000,4390.64893,-3.78724,116.55085,43.86082
2017-01-21|05:47:20.000,4371.34277,-3.80965,116.56566,43.50274
2017-01-21|05:47:30.000,4379.42969,-3.82768,116.54518,43.11798
2017-01-21|05:47:40.000,4387.5166,-3.80848,116.53783,42.96704
2017-01-21|05:47:50.000,4395.26465,-3.79383,116.53047,42.8158
2017-01-21|05:48:00.000,4376.8208,-3.79268,116.53389,42.52932
2017-01-21|05:48:10.000,4358.37646,-3.78808,116.5355,42.16383
2017-01-21|05:48:20.000,4342.73486,-3.79483,116.52311,43.26144
2017-01-21|05:48:30.000,4349.18066,-3.76454,116.5118,44.19637
2017-01-21|05:48:40.000,4355.62646,-3.75195,116.51798,45.42339
2017-01-21|05:48:50.000,4370.65186,-3.82038,116.4922,46.00815
2017-01-21|05:49:00.000,4453.36426,-3.86337,116.48364,45.52803
2017-01-21|05:49:10.000,4448.83496,-3.87446,116.47507,44.31395
2017-01-21|05:49:20.000,4424.15967,-3.88861,116.48601,44.00497
2017-01-21|05:49:30.000,4399.48438,-3.85524,116.4839,44.54866
2017-01-21|05:49:40.000,4402.23193,-3.84303,116.47734,45.06824
2017-01-21|05:49:50.000,4422.34326,-3.86627,116.49295,44.99928
2017-01-21|05:50:00.000,4436.61426,-3.86169,116.48499,44.56978
2017-01-21|05:50:10.000,4429.20166,-3.86592,116.49391,44.4195
2017-01-21|05:50:20.000,4421.78906,-3.84409,116.48956,44.15804
2017-01-21|05:50:30.000,4414.37646,-3.85385,116.48521,43.99626
2017-01-21|05:50:40.000,4419.51416,-3.8865,116.48086,44.40315
2017-01-21|05:50:50.000,4452.32666,-3.89209,116.47651,45.01953
2017-01-21|05:51:00.000,4485.13916,-3.86872,116.47215,45.01583
2017-01-21|05:51:10.000,4475.90186,-3.83939,116.4847,44.51253
2017-01-21|05:51:20.000,4406.62744,-3.85359,116.48957,44.0228
2017-01-21|05:51:30.000,4424.34326,-3.83302,116.47852,43.94089
2017-01-21|05:51:40.000,4462.22607,-3.82363,116.48469,43.67691
2017-01-21|05:51:50.000,4426.53418,-3.88094,116.49693,42.93249
2017-01-21|05:52:00.000,4361.0376,-3.84789,116.48651,43.10769
2017-01-21|05:52:10.000,4373.14746,-3.82073,116.45934,43.68829
2017-01-21|05:52:20.000,4433.70215,-3.80318,116.45843,44.44858
2017-01-21|05:52:30.000,4422.07129,-3.84615,116.44747,44.72033
2017-01-21|05:52:40.000,4410.44092,-3.82266,116.4669,44.02328
2017-01-21|05:52:50.000,4398.81006,-3.82551,116.44799,43.63641
2017-01-21|05:53:00.000,4404.05469,-3.81662,116.44355,43.28547
2017-01-21|05:53:10.000,4420.02539,-3.83298,116.43576,43.17915
2017-01-21|05:53:20.000,4435.99609,-3.83809,116.42797,43.06665
2017-01-21|05:53:30.000,4440.01758,-3.83014,116.42018,43.10148
2017-01-21|05:53:40.000,4417.59131,-3.80266,116.42418,43.05996
2017-01-21|05:53:50.000,4395.16504,-3.80414,116.41473,42.96559
2017-01-21|05:54:00.000,4371.83887,-3.82952,116.40693,42.89648
2017-01-21|05:54:10.000,4347.22412,-3.83442,116.39913,42.86948
2017-01-21|05:54:20.000,4322.60938,-3.81285,116.39133,42.83977
2017-01-21|05:54:30.000,4357.76953,-3.78662,116.38354,43.21046
2017-01-21|05:54:40.000,4438.39258,-3.804,116.37574,44.74636
2017-01-21|05:54:50.000,4475.0957,-3.83187,116.36794,46.0477
2017-01-21|05:55:00.000,4511.79883,-3.86057,116.41043,47.36024
2017-01-21|05:55:10.000,4579.35059,-3.95277,116.41004,48.37233
2017-01-21|05:55:20.000,4649.37842,-3.9881,116.39377,48.59611
2017-01-21|05:55:30.000,4714.88281,-3.97914,116.41373,48.49487
2017-01-21|05:55:40.000,4710.26904,-3.99149,116.37327,47.22549
2017-01-21|05:55:50.000,4677.1123,-3.99017,116.40297,46.13438
2017-01-21|05:56:00.000,4668.51953,-3.99168,116.41936,46.4589
2017-01-21|05:56:10.000,4714.44775,-4.01322,116.42615,46.5303
2017-01-21|05:56:20.000,4743.36377,-4.02065,116.43294,46.012
2017-01-21|05:56:30.000,4708.47266,-4.00658,116.43974,45.52994
2017-01-21|05:56:40.000,4678.71924,-4.00657,116.44875,45.50589
2017-01-21|05:56:50.000,4690.36426,-4.00616,116.46271,45.32513
2017-01-21|05:57:00.000,4702.00928,-4.00056,116.47666,44.62986
2017-01-21|05:57:10.000,4696.73584,-3.98237,116.49061,44.14449
2017-01-21|05:57:20.000,4628.19824,-3.93308,116.463,43.75057
2017-01-21|05:57:30.000,4585.56836,-3.92144,116.49148,43.46511
2017-01-21|05:57:40.000,4542.93848,-3.89902,116.4976,43.24474
2017-01-21|05:57:50.000,4509.21289,-3.8706,116.51366,43.04897
2017-01-21|05:58:00.000,4484.03857,-3.83437,116.52971,43.07255
2017-01-21|05:58:10.000,4458.86475,-3.81853,116.54577,42.92499
2017-01-21|05:58:20.000,4461.70703,-3.78555,116.49295,42.94537
2017-01-21|05:58:30.000,4491.46777,-3.80363,116.48558,42.87288
2017-01-21|05:58:40.000,4509.80811,-3.76581,116.4782,42.86372
2017-01-21|05:58:50.000,4435.65625,-3.7889,116.47177,42.89059
2017-01-21|05:59:00.000,4407.20557,-3.75229,116.49657,43.00429
2017-01-21|05:59:10.000,4444.57324,-3.74326,116.4541,43.48723
2017-01-21|05:59:20.000,4487.43213,-3.77673,116.44707,44.91444
2017-01-21|05:59:30.000,4538.20313,-3.83337,116.4508,46.34262
2017-01-21|05:59:40.000,4588.97363,-3.88705,116.46638,47.28514
2017-01-21|05:59:50.000,4618.50293,-3.95213,116.43607,48.01741
2017-01-21|06:00:00.000,4643.03613,-3.99239,116.42207,47.88394
2017-01-21|06:00:10.000,4651.08643,-3.99572,116.42818,47.35154
2017-01-21|06:00:20.000,4635.36816,-3.97337,116.4388,46.97417
2017-01-21|06:00:30.000,4619.6499,-3.99494,116.42776,46.50013
2017-01-21|06:00:40.000,4603.93115,-3.95734,116.4436,45.86795
2017-01-21|06:00:50.000,4610.74219,-3.94797,116.42441,45.4842
2017-01-21|06:01:00.000,4626.78711,-3.9323,116.43354,45.69556
2017-01-21|06:01:10.000,4623.49561,-3.97608,116.44268,46.04952
2017-01-21|06:01:20.000,4601.56738,-4.00708,116.4609,46.14718
2017-01-21|06:01:30.000,4579.63867,-3.9906,116.45405,46.53088
2017-01-21|06:01:40.000,4620.17578,-3.99437,116.46007,45.81838
2017-01-21|06:01:50.000,4700.80127,-3.9719,116.45164,45.19411
2017-01-21|06:02:00.000,4628.69629,-3.97702,116.47694,44.95705
2017-01-21|06:02:10.000,4600.62207,-3.96944,116.47896,44.6557
2017-01-21|06:02:20.000,4606.11621,-3.93152,116.49284,44.38014
2017-01-21|06:02:30.000,4612.4082,-3.93025,116.48779,44.5919
2017-01-21|06:02:40.000,4621.72168,-3.93528,116.48699,44.95244
2017-01-21|06:02:50.000,4631.03564,-3.97407,116.47224,45.20954
2017-01-21|06:03:00.000,4640.34912,-3.9779,116.48296,44.55259
2017-01-21|06:03:10.000,4612.104,-3.97047,116.49623,43.76196
2017-01-21|06:03:20.000,4580.08545,-3.93864,116.48539,43.05233
2017-01-21|06:03:30.000,4543.28223,-3.90283,116.47211,42.66617
2017-01-21|06:03:40.000,4505.99805,-3.9023,116.48769,42.41183
2017-01-21|06:03:50.000,4468.69385,-3.86889,116.47562,42.54247
2017-01-21|06:04:00.000,4431.34521,-3.8186,116.48638,44.06804
2017-01-21|06:04:10.000,4393.99658,-3.81081,116.47726,44.17881
2017-01-21|06:04:20.000,4389.11865,-3.77703,116.49136,41.72451
2017-01-21|06:04:30.000,4415.65088,-3.78474,116.47078,41.61547
2017-01-21|06:04:40.000,4441.34766,-3.76441,116.45607,42.10545
2017-01-21|06:04:50.000,4365.98047,-3.76001,116.44152,42.26248
2017-01-21|06:05:00.000,4320.94824,-3.75201,116.42757,42.14746
2017-01-21|06:05:10.000,4344.00684,-3.70478,116.44228,42.06708
2017-01-21|06:05:20.000,4367.06592,-3.69883,116.44199,43.00052
2017-01-21|06:05:30.000,4357.18262,-3.73201,116.43396,43.79397
2017-01-21|06:05:40.000,4339.47217,-3.75706,116.42245,44.62915
2017-01-21|06:05:50.000,4340.33545,-3.76084,116.40001,45.38497
2017-01-21|06:06:00.000,4382.95117,-3.79364,116.41078,45.13377
2017-01-21|06:06:10.000,4416.15771,-3.80986,116.35811,44.80887
2017-01-21|06:06:20.000,4371.49219,-3.79828,116.34792,44.08741
2017-01-21|06:06:30.000,4326.82666,-3.80509,116.34543,43.62087
2017-01-21|06:06:40.000,4309.03174,-3.78798,116.31495,44.17576
2017-01-21|06:06:50.000,4349.98926,-3.80068,116.31448,44.84575
