data,A,B,C,D
2017-01-21|00:12:32.000,4929.02295,-4.16282,118.49233,49.63522
2017-01-21|00:12:42.000,4928.5957,-4.18584,118.50294,48.95783
2017-01-21|00:12:52.000,4859.82568,-4.16345,118.51375,48.44976
2017-01-21|00:13:02.000,4855.76904,-4.14077,118.52637,48.27362
2017-01-21|00:13:12.000,4858.69531,-4.14446,118.53899,48.98654
2017-01-21|00:13:22.000,4861.62158,-4.13775,118.54882,49.8742
2017-01-21|00:13:32.000,4864.54834,-4.1308,118.55865,49.89817
2017-01-21|00:13:42.000,4883.6582,-4.1813,118.55821,49.87682
2017-01-21|00:13:52.000,4966.54297,-4.16305,118.55687,49.63302
2017-01-21|00:14:02.000,4959.11621,-4.1182,118.5522,47.94785
2017-01-21|00:14:12.000,4906.06445,-4.13756,118.56552,47.91558
2017-01-21|00:14:22.000,4885.34375,-4.08308,118.57141,48.3961
2017-01-21|00:14:32.000,4864.62305,-4.11772,118.5773,48.80492
2017-01-21|00:14:42.000,4843.90234,-4.11478,118.58319,48.85818
2017-01-21|00:14:52.000,4844.43701,-4.18128,118.58908,49.5299
2017-01-21|00:15:02.000,4869.50586,-4.15993,118.56906,49.60412
2017-01-21|00:15:12.000,4918.80225,-4.11066,118.5779,49.58199
2017-01-21|00:15:22.000,4946.97217,-4.11791,118.58673,49.47216
2017-01-21|00:15:32.000,4926.3125,-4.15107,118.5844,49.00261
2017-01-21|00:15:42.000,4912.49854,-4.16718,118.56552,48.94311
2017-01-21|00:15:52.000,4925.74561,-4.1291,118.57534,49.07342
2017-01-21|00:16:02.000,4938.99268,-4.13117,118.58516,48.74113
2017-01-21|00:16:12.000,4952.23975,-4.16946,118.56596,48.90667
2017-01-21|00:16:22.000,4942.03711,-4.15894,118.59679,49.30519
2017-01-21|00:16:32.000,4926.03418,-4.14126,118.6021,49.45045
2017-01-21|00:16:42.000,4910.03125,-4.15301,118.6074,49.45857
2017-01-21|00:16:52.000,4893.99854,-4.13238,118.61269,49.45745
2017-01-21|00:17:02.000,4858.23633,-4.12428,118.618,49.38255
2017-01-21|00:17:12.000,4822.47412,-4.13487,118.61206,49.49658
2017-01-21|00:17:22.000,4802.97314,-4.13099,118.6049,49.56226
2017-01-21|00:17:32.000,4898.76367,-4.14117,118.59774,49.6498
2017-01-21|00:17:42.000,4927.7749,-4.10524,118.59964,49.62471
2017-01-21|00:17:52.000,4956.78613,-4.13192,118.6407,49.4206
2017-01-21|00:18:02.000,4938.79053,-4.1177,118.59234,48.83621
2017-01-21|00:18:12.000,4909.13867,-4.13881,118.62994,48.70586
2017-01-21|00:18:22.000,4887.33984,-4.10742,118.59951,49.18229
2017-01-21|00:18:32.000,4867.48926,-4.11142,118.64094,49.32651
2017-01-21|00:18:42.000,4852.38867,-4.1076,118.60014,48.86845
2017-01-21|00:18:52.000,4879.51514,-4.14129,118.63181,48.1509
2017-01-21|00:19:02.000,4901.18506,-4.12918,118.59727,47.51174
2017-01-21|00:19:12.000,4874.28857,-4.1236,118.63444,47.15547
2017-01-21|00:19:22.000,4847.39209,-4.1168,118.61322,47.48107
2017-01-21|00:19:32.000,4820.49512,-4.08076,118.59202,48.78415
2017-01-21|00:19:42.000,4932.8916,-4.13099,118.58781,46.70202
2017-01-21|00:19:52.000,4864.41553,-4.12189,118.5836,46.08014
2017-01-21|00:20:02.000,4790.36621,-4.07058,118.57939,46.16351
2017-01-21|00:20:12.000,4769.62402,-4.05718,118.57518,46.19535
2017-01-21|00:20:22.000,4753.84814,-4.03101,118.57098,45.75165
2017-01-21|00:20:32.000,4757.86084,-4.03307,118.56676,45.44562
2017-01-21|00:20:42.000,4759.47803,-4.01353,118.58317,45.47477
2017-01-21|00:20:52.000,4739.65283,-3.98186,118.57175,46.71557
2017-01-21|00:21:02.000,4719.82764,-4.0191,118.58735,47.31895
2017-01-21|00:21:12.000,4705.56641,-3.96936,118.56204,47.56043
2017-01-21|00:21:22.000,4741.15869,-4.02496,118.5505,48.41687
2017-01-21|00:21:32.000,4760.81006,-4.02112,118.53897,48.81996
2017-01-21|00:21:42.000,4764.53955,-4.02784,118.55371,48.98772
2017-01-21|00:21:52.000,4768.26953,-4.02469,118.53713,49.101
2017-01-21|00:22:02.000,4790.08203,-4.0135,118.51884,48.40662
2017-01-21|00:22:12.000,4819.63672,-4.03701,118.50056,48.27937
2017-01-21|00:22:22.000,4844.97021,-4.06611,118.49124,48.93291
2017-01-21|00:22:32.000,4853.42676,-4.02358,118.48594,49.2562
2017-01-21|00:22:42.000,4861.88281,-4.07143,118.4618,49.35034
2017-01-21|00:22:52.000,4838.16797,-4.06136,118.50109,49.15092
2017-01-21|00:23:02.000,4807.79443,-4.06723,118.4771,48.6462
2017-01-21|00:23:12.000,4841.65381,-4.07283,118.46663,48.29319
2017-01-21|00:23:22.000,4875.51318,-4.03701,118.4787,48.27592
2017-01-21|00:23:32.000,4845.03711,-4.06389,118.47265,48.17394
2017-01-21|00:23:42.000,4771.63428,-4.08295,118.45701,48.06723
2017-01-21|00:23:52.000,4773.30859,-4.02695,118.45361,48.03516
2017-01-21|00:24:02.000,4783.35303,-4.06389,118.45022,47.93614
2017-01-21|00:24:12.000,4821.26318,-4.09999,118.44682,47.77454
2017-01-21|00:24:22.000,4871.13281,-4.09049,118.44343,47.6066
2017-01-21|00:24:32.000,4877.77002,-4.0863,118.44003,47.59634
2017-01-21|00:24:42.000,4863.70996,-4.04374,118.43663,47.58609
2017-01-21|00:24:52.000,4830.33643,-4.04703,118.43324,47.57582
2017-01-21|00:25:02.000,4800.5918,-4.05966,118.44778,47.55386
2017-01-21|00:25:12.000,4776.3042,-4.0706,118.45578,47.49419
2017-01-21|00:25:22.000,4752.0166,-4.06829,118.44374,47.71167
2017-01-21|00:25:32.000,4797.14795,-4.05874,118.43087,48.46799
2017-01-21|00:25:42.000,4848.52051,-4.06581,118.41048,48.84191
2017-01-21|00:25:46.000,4851.07617,-4.09399,118.45918,49.0041
2017-01-21|00:25:56.000,4857.46582,-4.10376,118.45056,49.09742
2017-01-21|00:26:06.000,4863.85547,-4.10085,118.44173,49.23414
2017-01-21|00:26:16.000,4832.87646,-4.0564,118.4329,49.36039
2017-01-21|00:26:26.000,4785.81348,-4.06946,118.41104,49.45045
2017-01-21|00:26:36.000,4794.3667,-4.08406,118.42664,49.50134
2017-01-21|00:26:46.000,4858.7583,-4.08776,118.4326,49.39778
2017-01-21|00:26:56.000,4846.021,-4.09616,118.41959,48.5286
2017-01-21|00:27:06.000,4824.6084,-4.06696,118.41025,48.89657
2017-01-21|00:27:16.000,4827.19775,-4.05962,118.40644,49.26979
2017-01-21|00:27:26.000,4865.97021,-4.07894,118.4036,49.45798
2017-01-21|00:27:36.000,4904.74268,-4.10706,118.38963,48.90248
2017-01-21|00:27:46.000,4871.99512,-4.1064,118.39467,48.23494
2017-01-21|00:27:56.000,4843.40186,-4.10088,118.39983,47.69545
2017-01-21|00:28:06.000,4831.9502,-4.08734,118.39529,47.54427
2017-01-21|00:28:16.000,4821.02734,-4.08037,118.40166,48.37579
2017-01-21|00:28:26.000,4814.94238,-4.08555,118.39217,49.33169
2017-01-21|00:28:36.000,4808.85791,-4.08614,118.3827,49.38519
2017-01-21|00:28:46.000,4802.77295,-4.08745,118.39529,49.47802
2017-01-21|00:28:56.000,4813.92334,-4.09735,118.40063,49.17943
2017-01-21|00:29:06.000,4829.42578,-4.07234,118.38909,47.73517
2017-01-21|00:29:16.000,4844.92822,-4.07964,118.37897,47.36314
2017-01-21|00:29:26.000,4838.69385,-4.07383,118.37463,47.90922
2017-01-21|00:29:36.000,4829.99854,-4.04229,118.37029,48.35459
2017-01-21|00:29:46.000,4821.30371,-4.03352,118.36595,48.08427
2017-01-21|00:29:56.000,4840.19336,-4.06912,118.3616,47.51693
2017-01-21|00:30:06.000,4859.13574,-4.06452,118.35726,47.27673
2017-01-21|00:30:16.000,4872.02148,-4.08662,118.35447,47.39992
2017-01-21|00:30:26.000,4829.1582,-4.09657,118.36599,48.58781
2017-01-21|00:30:36.000,4814.74023,-4.09562,118.37751,49.19199
2017-01-21|00:30:46.000,4843.36475,-4.06255,118.37015,49.24501
2017-01-21|00:30:56.000,4858.69727,-4.07368,118.36674,49.34103
2017-01-21|00:31:06.000,4842.6875,-4.11447,118.37683,49.17172
2017-01-21|00:31:16.000,4826.67773,-4.12304,118.37314,48.68372
2017-01-21|00:31:26.000,4810.66797,-4.09144,118.37552,47.41247
2017-01-21|00:31:36.000,4795.62695,-4.05265,118.37971,47.95405
2017-01-21|00:31:46.000,4780.58789,-4.06385,118.36725,48.44618
2017-01-21|00:31:56.000,4765.54932,-4.05845,118.35463,48.38449
2017-01-21|00:32:06.000,4787.03418,-4.0894,118.37951,47.68276
2017-01-21|00:32:16.000,4833.12256,-4.08451,118.36515,47.12397
2017-01-21|00:32:26.000,4827.04639,-4.07365,118.36081,46.90193
2017-01-21|00:32:36.000,4820.83984,-4.06838,118.36292,46.84458
2017-01-21|00:32:46.000,4814.6333,-4.07383,118.35764,47.48771
2017-01-21|00:32:56.000,4795.14697,-4.08557,118.35787,48.50996
2017-01-21|00:33:06.000,4769.89648,-4.09229,118.36101,46.55546
2017-01-21|00:33:16.000,4753.41064,-4.03911,118.36955,46.07439
2017-01-21|00:33:26.000,4818.33545,-4.04712,118.37811,45.88959
2017-01-21|00:33:36.000,4839.09912,-4.01425,118.39611,45.90852
2017-01-21|00:33:46.000,4792.81445,-4.00036,118.39439,46.14347
2017-01-21|00:33:56.000,4752.81055,-4.02456,118.37594,45.86469
2017-01-21|00:34:06.000,4714.40674,-4.01916,118.36613,45.68848
2017-01-21|00:34:16.000,4676.00342,-3.99833,118.35632,46.47516
2017-01-21|00:34:26.000,4825.93652,-4.01345,118.36873,47.5843
2017-01-21|00:34:36.000,4864.15967,-4.01117,118.35251,47.90965
2017-01-21|00:34:46.000,4849.18311,-4.04006,118.34395,48.6041
2017-01-21|00:34:56.000,4764.88672,-4.04582,118.33538,48.84655
2017-01-21|00:35:06.000,4783.53369,-4.03684,118.32682,48.96286
2017-01-21|00:35:16.000,4799.60791,-4.06211,118.33984,48.90974
2017-01-21|00:35:26.000,4791.62695,-4.05596,118.33924,48.21229
2017-01-21|00:35:36.000,4783.646,-4.0663,118.32322,47.83435
2017-01-21|00:35:46.000,4776.59229,-4.08391,118.31116,48.40836
2017-01-21|00:35:56.000,4778.21729,-4.04511,118.31307,48.88743
2017-01-21|00:36:06.000,4779.8418,-4.06664,118.29803,48.78595
2017-01-21|00:36:16.000,4785.88623,-4.08552,118.29047,48.24236
2017-01-21|00:36:26.000,4810.01563,-4.08549,118.2829,47.99219
2017-01-21|00:36:36.000,4834.14502,-4.07963,118.27532,47.93884
2017-01-21|00:36:46.000,4823.67285,-4.091,118.25868,48.88684
2017-01-21|00:36:56.000,4760.49121,-4.03298,118.29178,49.2108
2017-01-21|00:37:06.000,4757.86523,-4.06417,118.28713,49.33913
2017-01-21|00:37:16.000,4851.44336,-4.06886,118.28838,49.54919
2017-01-21|00:37:26.000,4872.3252,-4.05835,118.27396,49.8113
2017-01-21|00:37:36.000,4893.20752,-4.07887,118.29127,49.97683
2017-01-21|00:37:46.000,4889.24512,-4.06917,118.28695,50.01445
2017-01-21|00:37:56.000,4860.03857,-4.08822,118.29424,50.06221
2017-01-21|00:38:06.000,4830.83154,-4.12078,118.27386,50.15024
2017-01-21|00:38:16.000,4856.17432,-4.13819,118.29954,50.23486
2017-01-21|00:38:26.000,4881.74219,-4.14688,118.28143,50.28679
2017-01-21|00:38:36.000,4900.8833,-4.14919,118.28307,50.32563
2017-01-21|00:38:46.000,4918.37549,-4.12083,118.29865,50.44073
2017-01-21|00:38:56.000,4935.86816,-4.14939,118.28796,50.61494
2017-01-21|00:39:06.000,4918.75244,-4.16668,118.30402,50.77534
2017-01-21|00:39:16.000,4897.60205,-4.15436,118.31349,50.96811
2017-01-21|00:39:26.000,4895.59619,-4.14998,118.32296,50.93253
2017-01-21|00:39:36.000,5012.66797,-4.16507,118.30424,50.94905
2017-01-21|00:39:46.000,4981.35156,-4.16696,118.30089,51.01037
2017-01-21|00:39:56.000,4950.03564,-4.19837,118.3341,51.08688
2017-01-21|00:40:06.000,4981.29541,-4.20256,118.34885,51.12115
2017-01-21|00:40:16.000,5039.96484,-4.1908,118.3087,51.07961
2017-01-21|00:40:26.000,5004.59668,-4.19001,118.33433,51.03391
2017-01-21|00:40:36.000,4968.78467,-4.2096,118.34381,51.01208
2017-01-21|00:40:46.000,4978.21191,-4.22525,118.35329,51.02237
2017-01-21|00:40:56.000,5033.75586,-4.22648,118.37851,51.07898
2017-01-21|00:41:06.000,5020.42969,-4.17594,118.36456,51.13559
2017-01-21|00:41:16.000,4999.03223,-4.17168,118.37056,51.19771
2017-01-21|00:41:26.000,4988.1001,-4.17038,118.38226,51.26359
2017-01-21|00:41:36.000,5002.17773,-4.19061,118.38497,51.35746
2017-01-21|00:41:46.000,5016.25537,-4.18154,118.38768,51.42438
2017-01-21|00:41:56.000,5018.50195,-4.18852,118.39039,51.3732
2017-01-21|00:42:06.000,5008.6748,-4.17449,118.3931,51.31269
2017-01-21|00:42:16.000,4998.84766,-4.16781,118.39581,51.30489
2017-01-21|00:42:26.000,5011.66113,-4.25111,118.39851,51.28334
2017-01-21|00:42:36.000,5047.60059,-4.20811,118.40122,51.30391
2017-01-21|00:42:46.000,5083.54004,-4.21758,118.40393,51.25872
2017-01-21|00:42:56.000,5037.71191,-4.21112,118.40387,51.21062
2017-01-21|00:43:06.000,4991.44043,-4.22071,118.38212,51.10293
2017-01-21|00:43:16.000,5028.44922,-4.21122,118.40625,51.08609
2017-01-21|00:43:26.000,5056.69629,-4.23375,118.39318,51.1263
2017-01-21|00:43:36.000,5040.42334,-4.23261,118.37991,51.11359
2017-01-21|00:43:46.000,5024.15088,-4.22577,118.39233,50.85421
2017-01-21|00:43:56.000,5015.8125,-4.1955,118.38418,50.61509
2017-01-21|00:44:06.000,5026.50146,-4.20474,118.39893,50.77485
2017-01-21|00:44:16.000,5037.19043,-4.22687,118.39629,50.69639
2017-01-21|00:44:26.000,5040.14844,-4.22541,118.3838,50.62602
2017-01-21|00:44:36.000,5035.19385,-4.22114,118.40422,50.57615
2017-01-21|00:44:46.000,5030.23926,-4.21677,118.42613,50.55613
2017-01-21|00:44:56.000,5025.28516,-4.24005,118.40989,50.59551
2017-01-21|00:45:06.000,5044.57324,-4.20809,118.42197,50.63166
2017-01-21|00:45:16.000,5074.55078,-4.21344,118.42587,50.70862
2017-01-21|00:45:26.000,5097.97314,-4.19842,118.42161,50.80627
2017-01-21|00:45:36.000,5058.13916,-4.18932,118.40898,50.78957
2017-01-21|00:45:46.000,5018.30566,-4.18931,118.45906,50.77286
2017-01-21|00:45:56.000,5010.48242,-4.23706,118.44685,50.75615
2017-01-21|00:46:06.000,5002.85889,-4.22335,118.43423,50.73945
2017-01-21|00:46:16.000,5007.83594,-4.24174,118.45004,50.72274
2017-01-21|00:46:26.000,5021.43701,-4.22887,118.44116,50.65035
2017-01-21|00:46:36.000,5035.03809,-4.2148,118.43311,50.61105
2017-01-21|00:46:46.000,5017.61377,-4.21485,118.45756,50.55869
2017-01-21|00:46:56.000,4999.98975,-4.24649,118.4481,50.47876
2017-01-21|00:47:06.000,4982.36572,-4.23689,118.43863,50.52261
2017-01-21|00:47:16.000,5027.5293,-4.21797,118.44091,50.61651
2017-01-21|00:47:26.000,5078.52393,-4.20411,118.46063,50.5879
2017-01-21|00:47:36.000,5027.51123,-4.2121,118.47391,50.30212
2017-01-21|00:47:46.000,4976.49902,-4.18932,118.47974,50.25646
2017-01-21|00:47:56.000,5022.04443,-4.22154,118.46815,50.28921
2017-01-21|00:48:06.000,5056.51611,-4.18791,118.4808,50.22642
2017-01-21|00:48:16.000,5062.72314,-4.2047,118.48502,50.15498
2017-01-21|00:48:26.000,5068.92969,-4.20337,118.48533,50.13711
2017-01-21|00:48:36.000,5057.37207,-4.21823,118.46557,50.14593
2017-01-21|00:48:46.000,5018.38721,-4.21353,118.49742,50.19019
2017-01-21|00:48:56.000,4999.88818,-4.18551,118.48778,50.26019
2017-01-21|00:49:06.000,5030.81982,-4.19834,118.46247,50.23217
2017-01-21|00:49:16.000,5057.36719,-4.18946,118.50536,50.1857
2017-01-21|00:49:26.000,5041.10303,-4.21138,118.49208,50.12024
2017-01-21|00:49:36.000,5024.83887,-4.20573,118.49281,50.13794
2017-01-21|00:49:46.000,5004.24854,-4.20805,118.50677,50.09206
2017-01-21|00:49:56.000,4981.74072,-4.19805,118.49702,50.03304
2017-01-21|00:50:06.000,4969.23486,-4.23227,118.50297,49.92872
2017-01-21|00:50:16.000,4998.63184,-4.23504,118.50312,49.78127
2017-01-21|00:50:26.000,5024.28125,-4.20738,118.48184,49.14016
2017-01-21|00:50:36.000,5047.354,-4.21327,118.48119,48.65516
2017-01-21|00:50:46.000,5070.42676,-4.18789,118.47571,48.37289
2017-01-21|00:50:56.000,5041.6123,-4.18542,118.47088,48.26466
2017-01-21|00:51:06.000,4977.11182,-4.17307,118.48322,49.28949
2017-01-21|00:51:16.000,5031.93262,-4.1833,118.45851,49.41162
2017-01-21|00:51:26.000,5072.85449,-4.19837,118.45394,49.42819
2017-01-21|00:51:36.000,5045.2915,-4.13467,118.44937,49.50828
2017-01-21|00:51:46.000,5019.71973,-4.13453,118.4448,49.51933
2017-01-21|00:51:56.000,5002.51953,-4.18254,118.44023,49.49511
2017-01-21|00:52:06.000,4985.31934,-4.16101,118.43567,49.0882
2017-01-21|00:52:16.000,4985.38379,-4.19459,118.45886,49.01008
2017-01-21|00:52:26.000,5027.28906,-4.12531,118.45,49.36864
2017-01-21|00:52:36.000,5057.82275,-4.19439,118.44054,49.32248
2017-01-21|00:52:46.000,5040.49805,-4.19232,118.44984,49.23941
