,0
0,-4.0046914319139715
1,-4.0299531638485195
2,-4.041009709326625
3,-4.043502985791564
4,-4.048024679676891
5,-4.0435917330694195
6,-4.051079272634983
7,-4.070835621399879
8,-4.05675042447567
9,-4.065647720573544
10,-4.077776461670995
11,-4.064554643241763
12,-4.083195185734033
13,-4.070497177029848
14,-4.08091136890769
15,-4.081472846029401
16,-4.079153128720522
17,-4.077666752366423
18,-4.083232451559305
19,-4.08656220123589
20,-4.072636749411822
21,-4.082436778001189
22,-4.072407853717804
23,-4.049461743063927
24,-4.0561748923552035
25,-4.0672182662916185
26,-4.090160762802959
27,-4.087642347968816
28,-4.094345698918104
29,-4.072793201626539
30,-4.0693804069858786
31,-4.086059032280445
32,-4.094667357603908
33,-4.084298462979198
34,-4.094441594166756
35,-4.071332365213037
36,-4.07819168649137
37,-4.056186537925601
38,-4.057340814737677
39,-4.082138169513344
40,-4.072727906118035
41,-4.0926207088422775
42,-4.077606516657472
43,-4.082240008018613
44,-4.069023731274605
45,-4.06156614893496
46,-4.03147616351366
47,-4.050937598247528
48,-4.045582001207471
49,-4.025872796924114
50,-4.03853972400248
51,-4.040727966837287
52,-4.05526701974988
53,-4.084652809576392
54,-4.071773531545401
55,-4.077681851450801
56,-4.051574731419683
57,-4.061462784458398
58,-4.088824815092683
59,-4.087785066441893
60,-4.087030272851586
61,-4.090631083218455
62,-4.1091182254385945
63,-4.096141445873379
64,-4.08381609542191
65,-4.118562702716589
66,-4.137561928777099
67,-4.1271198678445815
68,-4.135240846125483
69,-4.132099112175107
70,-4.156379724882245
71,-4.152717313463688
72,-4.161711227638722
73,-4.144612398038507
74,-4.132756564859748
75,-4.1415425453674795
76,-4.147188076953292
77,-4.140167564917802
78,-4.163557893846631
79,-4.1568730954957
80,-4.114954503436088
81,-4.119887567056417
82,-4.095724855710268
83,-4.1130573998612165
84,-4.111953881673217
85,-4.154563979671598
86,-4.1493705371600385
87,-4.127937145943641
88,-4.127142034585476
89,-4.135950101519823
90,-4.1434676786255835
91,-4.128209812919497
92,-4.127783424414396
93,-4.152219605879187
94,-4.152556443963647
95,-4.143540844933391
96,-4.148857569862604
97,-4.136502342499495
98,-4.125274888236523
99,-4.1274900363546605
100,-4.1251471885335445
101,-4.135830352930427
102,-4.1179229994875195
103,-4.12807633058846
104,-4.113122052855491
105,-4.120846439228654
106,-4.1097356816124915
107,-4.112813244454265
108,-4.104786314193606
109,-4.116441682932972
110,-4.106499257127642
111,-4.101829865283966
112,-4.104088463426828
113,-4.099232501513958
114,-4.10710346144557
115,-4.092316076783538
116,-4.060390187267661
117,-4.049415722982287
118,-4.030493759257793
119,-4.022896028501988
120,-4.0073332897943255
121,-3.9994115712386367
122,-4.022098989601135
123,-3.993592078925371
124,-4.0292679224234815
125,-4.028818724663258
126,-4.033318733693361
127,-4.030794295288324
128,-4.017370647076964
129,-4.028843782718181
130,-4.055516797156334
131,-4.03970532512784
132,-4.067391664819121
133,-4.060688554812669
134,-4.056763114131689
135,-4.059173425946832
136,-4.044939647607207
137,-4.0557770154190065
138,-4.06388177021563
139,-4.035754264191985
140,-4.052846668649912
141,-4.0765025165838
142,-4.077013716967106
143,-4.076668365569114
144,-4.0549949952882525
145,-4.051449360830784
146,-4.052980472238064
147,-4.056238099692464
148,-4.057050719563365
149,-4.064864094157219
150,-4.075047141541242
151,-4.090403151295781
152,-4.096634896801114
153,-4.096900978006125
154,-4.072938409842252
155,-4.074953575406671
156,-4.081309567101002
157,-4.084661483518481
158,-4.079519602773785
159,-4.06950561694622
160,-4.06900100233376
161,-4.082104437516332
162,-4.094375495515465
163,-4.086474899615049
164,-4.079878687913418
165,-4.074713194770813
166,-4.082264021987915
167,-4.095037606428265
168,-4.0938981877577305
169,-4.091583208991289
170,-4.090680074928403
171,-4.062106904972792
172,-4.0627935920548435
173,-4.067025833280086
174,-4.055776051647663
175,-4.045431411935091
176,-4.056187100125551
177,-4.051234118564128
178,-4.066695018766522
179,-4.08839216207385
180,-4.0987357577008
181,-4.082438143343925
182,-4.084663732318282
183,-4.099072515470981
184,-4.09974908295393
185,-4.072417009545564
186,-4.058302979795337
187,-4.067962779654264
188,-4.062198543564677
189,-4.070826304943561
190,-4.064801529334187
191,-4.058539987231493
192,-4.057134166098833
193,-4.069650584219098
194,-4.086627416430115
195,-4.067864073405862
196,-4.0320094503235815
197,-4.03431543389082
198,-4.015949726859927
199,-4.0068432120662925
200,-4.010282911990284
201,-4.002879541788697
202,-3.997646986223459
203,-4.027516348321438
204,-4.03046749648869
205,-4.048708796702027
206,-4.0461033211898805
207,-4.0420689743471145
208,-4.055432306535244
209,-4.045907595292926
210,-4.04890404071331
211,-4.067824237523674
212,-4.056607706002593
213,-4.066721763421297
214,-4.071658119927049
215,-4.070881159595847
216,-4.069479514805675
217,-4.088568130658269
218,-4.058322255222201
219,-4.070343696443438
220,-4.076417303134202
221,-4.0703155061316485
222,-4.080716124896407
223,-4.076754944361448
224,-4.084643894691467
225,-4.103149027310014
226,-4.1203928241831065
227,-4.132691911865472
228,-4.1409884571594
229,-4.131044987268448
230,-4.146737915421724
231,-4.157115805245637
232,-4.153219920219183
233,-4.150151191948056
234,-4.164548168901801
235,-4.164950061551928
236,-4.180926097537279
237,-4.189721394501328
238,-4.190172519804239
239,-4.188684296221733
240,-4.19796886777103
241,-4.20864576765418
242,-4.21577831810832
243,-4.192197162453532
244,-4.185312060291767
245,-4.1796769695621725
246,-4.18708499799192
247,-4.182155628828406
248,-4.185611070351005
249,-4.178174128780961
250,-4.17324580370307
251,-4.215777595279813
252,-4.2043812400889395
253,-4.2123717879813904
254,-4.209265472627878
255,-4.213151880569458
256,-4.2086901814502475
257,-4.222511706597805
258,-4.223717866433859
259,-4.219295119739771
260,-4.201089559380412
261,-4.20503355265975
262,-4.214895744500756
263,-4.215513521931768
264,-4.21383166062355
265,-4.21254598965168
266,-4.225679703317285
267,-4.212333397756219
268,-4.2149457802963255
269,-4.207621439344883
270,-4.197686241824627
271,-4.1909040222537515
272,-4.213928680272102
273,-4.210709041471481
274,-4.223500054110288
275,-4.221757635836005
276,-4.216718075482249
277,-4.21296209792912
278,-4.227179893727302
279,-4.224308658267259
280,-4.218780626471043
281,-4.212672564954757
282,-4.20903087462008
283,-4.191406709323525
284,-4.207328693799377
285,-4.192613591988087
286,-4.199632979623675
287,-4.198969342739582
288,-4.20723480640769
289,-4.204473440880776
290,-4.191323985616565
291,-4.196723112995625
292,-4.191862733797431
293,-4.199777946896553
294,-4.197269410718679
295,-4.1988469437789915
296,-4.1932001271647215
297,-4.210337909190058
298,-4.215569661612511
299,-4.199876492516398
300,-4.199330917621851
301,-4.185672510774135
302,-4.179143843380809
303,-4.17763851285696
304,-4.1852985674929615
305,-4.193274739129543
306,-4.157621142686605
307,-4.147473995785117
308,-4.167636252914071
309,-4.152929664416313
310,-4.16935594224751
311,-4.143476031310558
312,-4.1790024099361895
313,-4.179342540906071
314,-4.189697541160584
315,-4.18417794236362
316,-4.195545545042753
317,-4.1838878471893075
318,-4.196338006029725
319,-4.195088074911832
320,-4.202707088951469
321,-4.178290504170656
322,-4.153823000137209
323,-4.135207355071306
324,-4.136125186647177
325,-4.113110407285094
326,-4.083827981935143
327,-4.081658050755858
328,-4.0805938062500955
329,-4.082490267310739
330,-4.092859804449677
331,-4.100234261510968
332,-4.101323885328769
333,-4.093284586669206
334,-4.112747306431531
335,-4.119379980815649
336,-4.116015133799315
337,-4.124363722745776
338,-4.1122332147341965
339,-4.117037213308811
340,-4.135570054353475
341,-4.133306557039618
342,-4.1247373447698354
343,-4.126411495907306
344,-4.1355532686692476
345,-4.143639390553236
346,-4.153645023695827
347,-4.139662307791114
348,-4.122976534525752
349,-4.116760771561861
350,-4.111663224298954
351,-4.126723918451071
352,-4.137596624545455
353,-4.134070024572015
354,-4.105599737207293
355,-4.100604751278162
356,-4.094276066438556
357,-4.106468336130381
358,-4.093378152803779
359,-4.096479488672018
360,-4.094836097903252
361,-4.096677543683052
362,-4.091093854091763
363,-4.073471536023616
364,-4.057074171332717
365,-4.059234143541455
366,-4.0729928629231456
367,-4.080198740313649
368,-4.06268460557878
369,-4.050167946515679
370,-4.042810837338567
371,-4.051654081926942
372,-4.034715238369703
373,-4.06973033629775
374,-4.0829031630170345
375,-4.086456748588085
376,-4.075751738707423
377,-4.074730863912105
378,-4.072711843262315
379,-4.067437203015089
380,-4.088111463670135
381,-4.0733659227472545
382,-4.091388527179956
383,-4.079594696624278
384,-4.07915497594893
385,-4.073838251019716
386,-4.077536161349416
387,-4.086809569213986
388,-4.074646533919573
389,-4.078035957105159
390,-4.075470638732314
391,-4.063132036424875
392,-4.069637974877358
393,-4.077453517956734
394,-4.0774718296122545
395,-4.074619146750569
396,-4.0698477557730675
397,-4.077586036516428
398,-4.079448685265779
399,-4.0747559219670295
400,-4.078036198047996
401,-4.065436895592213
402,-4.075495536158681
403,-4.071433480889797
404,-4.0757596898210045
405,-4.083316379980444
406,-4.079221717114448
407,-4.077005846167802
408,-4.080061804468632
409,-4.084857129101157
410,-4.083998167891502
411,-4.070483764545322
412,-4.048321039364934
413,-4.027677860335707
414,-4.0293018150490525
415,-4.024834815187454
416,-4.009285970849991
417,-3.9900118290138242
418,-4.011324909440875
419,-3.985647229857445
420,-3.9727214498591423
421,-3.9517875331413745
422,-3.969200873456597
423,-3.9733929575425386
424,-3.9731655878198144
425,-3.9680819349271057
426,-3.9776091359120604
427,-3.9739984468889236
428,-3.9960659193348884
429,-4.020276497991085
430,-4.0250003429156544
431,-4.018128653238415
432,-4.017006903709173
433,-4.007077006931305
434,-4.029702904556394
435,-4.034264996523857
436,-4.044529402272105
437,-4.041489346198439
438,-4.030957574216723
439,-4.027602846799493
440,-4.045200026498437
441,-4.049403274269104
442,-4.057155208439827
443,-4.056202359838486
444,-4.024822687731385
445,-4.013914563040137
446,-4.011663032553792
447,-4.005519873697757
448,-3.9817965617698428
449,-4.001652259297371
450,-4.005016142542362
451,-4.030083915494084
452,-4.042408864374161
453,-4.030139653603435
454,-4.026461179329156
455,-4.0261851391536
456,-4.043742482970357
457,-4.041471355800033
458,-4.049098080010414
459,-4.050904990650415
460,-4.037985234223008
461,-4.030094356350302
462,-4.0249006728959085
463,-4.021700630779266
464,-4.039513855887651
465,-4.012123313684463
466,-3.9893713226419685
467,-3.9962870245438813
468,-3.970309049872756
469,-3.9664946838390827
470,-3.9517107526910302
471,-3.9488111662906404
472,-3.9435305827867984
473,-3.9057326754194497
474,-3.8998534292829037
475,-3.9230885910254716
476,-3.928721593583822
477,-3.913534324128628
478,-3.9267544559580085
479,-3.944739794565439
480,-3.9153989004206657
481,-3.901478829653263
482,-3.9128995200705528
483,-3.928363873786926
484,-3.9665707414609193
485,-3.9652418614071605
486,-3.9633449987751246
487,-3.9651534353864193
488,-3.9731219771665334
489,-3.977649614308476
490,-3.9769115260881183
491,-3.9748466459852456
492,-3.971808196197152
493,-3.9746205612909793
494,-3.9612198829632996
495,-3.9405046620261666
496,-3.942197606704831
497,-3.9340718095672127
498,-3.94434143574357
499,-3.9341937266421314
500,-3.9309046963047978
501,-3.924197891841531
502,-3.9132297723841667
503,-3.930076656092405
504,-3.920698839665651
505,-3.904303563145995
506,-3.9162346508038044
507,-3.9588336654317375
508,-4.005216767610311
509,-4.006199734066128
510,-3.999387717897892
511,-3.997972981880307
512,-4.030712455038429
513,-4.025072063566446
514,-4.024910712180733
515,-4.010502892799377
516,-3.9910477225792405
517,-3.9756127638888357
518,-3.951942860956192
519,-3.9235247778725624
520,-3.9050430167090893
521,-3.890358514637947
522,-3.8626224604082107
523,-3.8656958469074962
524,-3.843138377047777
525,-3.826065167702436
526,-3.788967440215945
527,-3.8076999425572153
528,-3.8124507730793953
529,-3.8179557546776532
530,-3.8068653968882558
531,-3.7909262251567837
532,-3.7786733984988925
533,-3.78057997915864
534,-3.7969694730502366
535,-3.786343171162605
536,-3.7948278124970196
537,-3.790731543345451
538,-3.807950041220784
539,-3.8072824689370393
540,-3.81143664468348
541,-3.7995082073968645
542,-3.8244867511850593
543,-3.88759498062551
544,-3.945685013310313
545,-4.029675597701669
546,-4.054066642541885
547,-4.0658332465571165
548,-4.0699039757680895
549,-4.03592525329113
550,-4.059036570416093
551,-4.0491529346626995
552,-4.040864902682304
553,-4.0432567422133685
554,-4.033684645546675
555,-4.010723114551306
556,-3.996381233192682
557,-3.98996781678915
558,-4.001289720643759
559,-3.9928156807941195
560,-3.9766923484218117
561,-3.9485601841700073
562,-3.9361524312686917
563,-3.928562169740796
564,-3.920753051803708
565,-3.9157165433925387
566,-3.8952167253506182
567,-3.880811957911849
568,-3.8772203033727406
569,-3.869272643305063
570,-3.884557574923038
571,-3.890797512484789
572,-3.900683477352261
573,-3.889402132208347
574,-3.865059436563849
575,-3.8474468365234133
576,-3.8677485995543
577,-3.863580931009054
578,-3.8521395998221633
579,-3.8392204055947063
580,-3.8616035131555795
581,-3.8892802151334283
582,-3.9159189353746173
583,-3.930891203505993
584,-3.9558874967497584
585,-3.97413313393414
586,-3.98470032451272
587,-3.9851980320972205
588,-3.9565874356877804
589,-3.940150717000365
590,-3.959723306695819
591,-3.9838376688462493
592,-3.9715006728243827
593,-3.9789049264830347
594,-3.953058988485932
595,-3.9514431455147263
596,-3.9548011658173796
597,-3.9800751858365535
598,-3.9857242512506246
599,-3.986160679040551
600,-3.97303941408813
601,-3.9599495520186423
602,-3.9615733461034295
603,-3.94573633413434
604,-3.9411014774304625
605,-3.939039970527291
606,-3.938307343677878
607,-3.9431645103049275
608,-3.9362040733498334
609,-3.9372855051112174
610,-3.9581766946327686
611,-4.002193577535152
612,-4.027555220432282
613,-4.028209380231499
614,-4.031139164800644
615,-4.0159031445783375
616,-3.9919498928707835
617,-4.014264331723451
618,-4.037942346398234
619,-4.043303003237844
620,-4.055742560593486
621,-4.039761384494304
622,-4.040888916651606
623,-4.072660040552616
624,-4.081965654442906
625,-4.073735288114547
626,-4.078150164009332
627,-4.078119323326349
628,-4.074779855622053
629,-4.063939435867667
630,-4.054978771803975
631,-4.036748314018249
632,-4.075071155510544
633,-4.08161484167397
634,-4.098749893013835
635,-4.095333564544916
636,-4.083581898985505
637,-4.066406288934946
638,-4.06465423294723
639,-4.055013949458003
640,-4.050876639710069
641,-4.059421998639107
642,-4.055536072583198
643,-4.074354912773966
644,-4.079374876443744
645,-4.086232511122226
646,-4.049942504335641
647,-4.044039726115465
648,-4.026949570457339
649,-4.02933008567512
650,-4.019003115103841
651,-3.9991875747156143
652,-3.9956910122823714
653,-4.007003840623498
